Unidade da Federação;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
11 Rondônia;1493566;1503928;1560501;1576455;1590011;1728214;1748531;1768204;1787279;1805788;1757589;1777225;1796460
12 Acre;680073;691132;732793;746386;758786;776463;790101;803513;816687;829619;869265;881935;894.470
13 Amazonas;3341096;3393369;3480937;3538387;3590985;3807921;3873743;3938336;4001667;4063614;4080611;4144597;4.207.714
14 Roraima;412783;421499;451227;460165;469524;488072;496936;505665;514229;522636;576568;605761;631.181
15 Pará;7321493;7457119;7588078;7688593;7822205;7999729;8104880;8206923;8305359;8366628;8513497;8602865;8.690.745
16 Amapá;613164;626609;668689;684309;698602;734996;750912;766679;782295;797722;829494;845731;861.773
17 Tocantins;1280509;1292051;1383453;1400892;1417694;1478164;1496880;1515126;1532902;1550194;1555229;1572866;1.590.248
21 Maranhão;6305539;6367138;6569683;6645761;6714314;6794301;6850884;6904241;6954036;7000229;7035055;7075181;7.114.598
22 Piauí;3119697;3145325;3119015;3140328;3160748;3184166;3194718;3204028;3212180;3219257;3264531;3273227;3.281.480
23 Ceará;8450527;8547809;8448055;8530155;8606005;8778576;8842791;8904459;8963663;9020460;9075649;9132078;9.187.103
24 Rio Grande do Norte;3106430;3137541;3168133;3198657;3228198;3373959;3408510;3442175;3474998;3507003;3479010;3506853;3.534.165
25 Paraíba;3742606;3769977;3766834;3791315;3815171;3914421;3943885;3972202;3999415;4025558;3996496;4018127;4.039.277
26 Pernambuco;8734194;8810256;8796032;8864906;8931028;9208550;9277727;9345173;9410336;9473266;9496294;9557071;9.616.621
27 Alagoas;3127557;3156108;3120922;3143384;3165472;3300935;3321730;3340932;3358963;3375823;3322820;3337357;3.351.543
28 Sergipe;1999374;2019679;2068031;2089819;2110867;2195662;2219574;2242937;2265779;2288116;2278308;2298696;2.318.822
29 Bahia;14502575;14637364;14021432;14097534;14175341;15044137;15126371;15203934;15276566;15344447;14812617;14873064;14.930.634
31 Minas Gerais;19850072;20033665;19595309;19728701;19855332;20593356;20734097;20869101;20997560;21119536;21040662;21168791;21.292.666
32 Espírito Santo;3453648;3487199;3512672;3547055;3578067;3839366;3885049;3929911;3973697;4016356;3972388;4018650;4.064.052
33 Rio de Janeiro;15872362;16010429;15993583;16112678;16231365;16369179;16461173;16550024;16635996;16718956;17159960;17264943;17.366.189
35 São Paulo;41011635;41384039;41252160;41587182;41901219;43663669;44035304;44396484;44749699;45094866;45538936;45919049;46.289.333
41 Paraná;10590169;10686247;10439601;10512349;10577755;10997465;11081692;11163018;11242720;11320892;11348937;11433957;11.516.840
42 Santa Catarina;6052587;6118743;6249682;6317054;6383286;6634254;6727148;6819190;6910553;7001161;7075494;7164788;7.252.502
43 Rio Grande do Sul;10855214;10914128;10695532;10733030;10770603;11164043;11207274;11247972;11286500;11322895;11329605;11377239;11.422.973
50 Mato Grosso do Sul;2336058;2360498;2449341;2477542;2505088;2587269;2619657;2651235;2682386;2713147;2748023;2778986;2.809.394
51 Mato Grosso;2957732;3001692;3033991;3075936;3115336;3182113;3224357;3265486;3305531;3344544;3441998;3484466;3.526.220
52 Goiás;5844996;5926300;6004045;6080716;6154996;6434048;6523222;6610681;6695855;6778772;6921161;7018354;7.113.540
53 Distrito Federal;2557158;2606885;2562963;2609998;2648532;2789761;2852372;2914830;2977216;3039444;2974703;3015268;3.055.149
 ;;;;;;;;;;;;;
